Wall time,Step,Value
1696205486.8657591,49,0.39188915491104126
1696205487.0652452,99,0.3723309338092804
1696205487.3069007,149,0.4012421667575836
1696205487.4734561,199,0.3583410680294037
1696205487.7144895,249,0.3724777102470398
1696205487.8781197,299,0.37850314378738403
1696205488.1060157,349,0.3569789528846741
1696205488.271104,399,0.3736545443534851
1696205488.4364207,449,0.4062329828739166
1696205488.6780226,499,0.402666836977005
1696205488.8403423,549,0.34448397159576416
1696205489.0684187,599,0.385649710893631
1696205489.2340217,649,0.4009014368057251
1696205489.4767697,699,0.3598361015319824
1696205489.6408536,749,0.36301472783088684
1696205489.8719373,799,0.33726805448532104
1696205490.0388646,849,0.3728921413421631
1696205490.213937,899,0.3491663932800293
1696205490.4594073,949,0.34806838631629944
1696205490.630385,999,0.36579516530036926
1696205490.881922,1049,0.3459564745426178
1696205491.0519,1099,0.36368343234062195
1696205491.3010395,1149,0.3750786781311035
1696205491.472016,1199,0.35313883423805237
1696205491.7249951,1249,0.3620133697986603
1696205491.9059381,1299,0.33919650316238403
1696205492.077078,1349,0.33558788895606995
1696205492.3209474,1399,0.33994996547698975
1696205492.5002847,1449,0.3531838655471802
1696205492.751903,1499,0.37185221910476685
1696205492.9389868,1549,0.3581733703613281
1696205493.1863286,1599,0.32855379581451416
1696205493.359836,1649,0.3510170578956604
1696205493.6180215,1699,0.3586360216140747
1696205493.788758,1749,0.3641078472137451
1696205493.960167,1799,0.34877532720565796
1696205494.208514,1849,0.3543816804885864
1696205494.377449,1899,0.3357624411582947
1696205494.6363833,1949,0.341088205575943
1696205494.8181362,1999,0.33295583724975586
1696205495.0759614,2049,0.36759939789772034
1696205495.2616603,2099,0.3533537685871124
1696205495.495345,2149,0.3595685362815857
1696205495.6786177,2199,0.36915796995162964
1696205495.8511388,2249,0.3545079231262207
1696205496.0951269,2299,0.3616850972175598
1696205496.2723584,2349,0.375323086977005
1696205496.5162165,2399,0.34835562109947205
1696205496.7044208,2449,0.3853279948234558
1696205496.9619317,2499,0.3634260892868042
1696205497.138944,2549,0.3440583646297455
1696205497.3815248,2599,0.3439357876777649
1696205497.547216,2649,0.390850692987442
1696205497.7185078,2699,0.39896106719970703
1696205497.947054,2749,0.36115872859954834
1696205498.1154335,2799,0.3502105176448822
1696205498.3479266,2849,0.37853461503982544
1696205498.5114257,2899,0.3570641577243805
1696205498.7635498,2949,0.3428558111190796
1696205498.9309351,2999,0.36200982332229614
1696205499.0938432,3049,0.373416930437088
1696205499.3202038,3099,0.3669147193431854
1696205499.4845247,3149,0.35929232835769653
1696205499.7312973,3199,0.34101662039756775
1696205499.8993177,3249,0.3679768443107605
1696205500.1321023,3299,0.3676234483718872
1696205500.296699,3349,0.3476810157299042
1696205500.5269825,3399,0.3481546640396118
1696205500.7017107,3449,0.3416915237903595
1696205500.880504,3499,0.34597301483154297
1696205501.1140122,3549,0.34789329767227173
1696205501.288317,3599,0.38118696212768555
1696205501.527989,3649,0.36911094188690186
1696205501.6977115,3699,0.3723587393760681
1696205501.9311135,3749,0.35327717661857605
